ID,Epic,Work item,API or artifact,Priority,Depends on,Estimate points,Acceptance summary
ARC-001,Architecture,Chốt ADR modular monolith và module boundaries,ADR-001,P0,,3,"Dependency rules và tiêu chí tách service được duyệt"
ARC-002,Architecture,Chốt auth web BFF và mobile PKCE,ADR-002,P0,ARC-001,5,"Có sequence, token lifecycle và threat review"
ARC-003,Architecture,Chốt Cloudinary content storage và sanitize,ADR-006,P0,ARC-001,3,"Giới hạn size, revision và XSS controls rõ"
ARC-004,Architecture,Chốt view validation pipeline,ADR-007,P0,ARC-001,5,"Định nghĩa raw/valid/invalid và rebuild"
ARC-005,Architecture,Chốt double-entry ledger,ADR-008,P0,ARC-001,5,"Invariant, account model và adjustment rõ"
ARC-006,Architecture,Chốt Team-only publishing permission,ADR-009,P0,ARC-001,5,"Không Creator độc lập; ownership/permission matrix được duyệt"
PLT-001,Platform,Tạo Spring Boot Clean Layered modular monolith,Backend project,P0,ARC-001,8,"Build được, module isolation và architecture test pass"
PLT-002,Platform,Chuẩn Problem Details và correlation,API middleware,P0,PLT-001,3,"Mọi lỗi có code/traceId và không lộ stack"
PLT-003,Platform,Validation và API conventions,API filters,P0,PLT-001,3,"DTO allowlist, max size và status code thống nhất"
PLT-004,Platform,MongoDB document/index migration và connection policy,Persistence building block,P0,PLT-001,8,"Replica-set transaction, migration job, timeout/pool cấu hình"
PLT-005,Platform,Transactional outbox và inbox,Outbox worker,P0,PLT-004,8,"Multi-worker idempotent, retry và DLQ test"
PLT-006,Platform,OpenTelemetry log metric trace,Observability building block,P0,PLT-001,5,"Trace xuyên API-DB-worker, log đã redact"
PLT-007,Platform,Health endpoints,/health/*,P0,PLT-001,2,"Liveness/readiness không lộ topology public"
PLT-008,Platform,CI security và quality gates,CI pipeline,P0,PLT-001,8,"Test SAST SCA secret IaC container OpenAPI gate"
BASE-001,Quality,Java unit-test stack và coverage,JUnit AssertJ Mockito jqwik JaCoCo,P0,PLT-001,5,"Offline deterministic unit suite và coverage gate chạy CI"
BASE-002,Quality,Deterministic test fixtures,Fixed clock ID random và builders,P0,BASE-001,3,"Test chạy song song/lặp lại không flaky"
BASE-003,Quality,Next.js unit/component test stack,Vitest Testing Library MSW,P0,PLT-001,5,"Web/admin seed tests và coverage gate chạy CI"
BASE-004,Quality,Test conventions và flaky gate,CI test policy,P0,BASE-001;BASE-003,3,"No sleep/network; seeded flaky test bị chặn"
INF-001,Infrastructure,Dựng dev và staging bằng IaC,Terraform/OpenTofu,P0,PLT-008,8,"Plan review, remote state, environment parity"
INF-002,Infrastructure,Cloudflare CDN WAF TLS rate-limit baseline,Cloudflare config,P0,INF-001,5,"Public only through edge, private response cache tests pass"
INF-003,Infrastructure,Managed MongoDB replica set backup PITR,Database infra,P0,INF-001,8,"Private access, transaction, PITR và restore smoke pass"
INF-004,Infrastructure,Redis private HA và outbox worker,Cache/async infra,P1,INF-001,5,"Private access, metrics, DLQ và eviction policy"
INF-005,Infrastructure,Cloudinary signed upload/private delivery,Media infra,P0,INF-001,8,"Restricted preset, signature, webhook và moderation policy"
AUTH-001,Identity,Đăng ký và email verification,POST /auth/register; /auth/email/verify,P0,PLT-003,8,"Không enumeration, token one-time, audit consent version"
AUTH-002,Identity,Login và Argon2id,POST /auth/login,P0,AUTH-001,8,"Rate/risk limit, breached password policy, no sensitive log"
AUTH-003,Identity,Refresh rotation và reuse detection,POST /auth/refresh,P0,AUTH-002,8,"Hash token, revoke family on replay"
AUTH-004,Identity,Logout và session management,/auth/logout; /auth/sessions,P0,AUTH-003,5,"Revoke current/all/specific session"
AUTH-005,Identity,Forgot và reset password,/auth/password/*,P0,AUTH-002,5,"Uniform response, one-time token, revoke old sessions"
AUTH-006,Identity,MFA/passkey cho privileged users,/auth/mfa/*,P1,AUTH-004,8,"Admin bắt buộc MFA; re-auth cho moderation/tài chính/hỗ trợ nhạy cảm"
TEAM-001,Teams,Profile và Team CRUD,/me; /teams,P0,AUTH-004,8,"Ownership policy và public/private DTO tách biệt"
TEAM-002,Teams,Owner add/invite member và permission,/teams/{id}/members,P0,TEAM-001;ARC-006,13,"Owner-only; cross-team/revoke/last-owner negative tests pass"
TEAM-003,Teams,Follow Team,PUT/DELETE /teams/{id}/follow,P1,TEAM-001,3,"Idempotent, counter eventual và reconcile được"
CAT-001,Catalog,Taxonomy theo nhóm,GET /categories,P0,PLT-004,5,"Genre setting tone ending relationship format tách rõ"
CAT-002,Catalog,Story metadata và catalog,GET /stories; /stories/{id},P0,CAT-001,8,"Keyset, compound index, ETag và cache policy"
CAT-003,Catalog,Chapter public list,GET /stories/{id}/chapters,P0,CAT-002,5,"Chỉ published, keyset và projection/index"
CAT-004,Discovery,Home read model,GET /home,P0,CAT-002,8,"Section versioned, payload budget và fallback"
CAT-005,Discovery,MongoDB Atlas Search và autocomplete,GET /search; /search/suggestions,P0,CAT-002,13,"Atlas Search, facet, cursor, timeout và query abuse guard"
CAT-006,Discovery,Ranking story/team,/rankings/*,P1,VIEW-004,8,"Dựa valid view, có asOf và period"
PUB-001,Publishing,Tạo và sửa story draft,/teams/{teamId}/stories,P0,TEAM-002;CAT-001,8,"Active membership + story:create/edit; optimistic concurrency"
PUB-002,Publishing,Revision và chapter draft,/teams/{teamId}/stories/{id}/chapters,P0,PUB-001,8,"Revision immutable, sanitize, permission và word limit"
PUB-003,Publishing,Submit và review workflow,/teams/{teamId}/stories/{id}/submit,P0,PUB-002,13,"State machine, revision freeze, idempotency, audit và reason"
PUB-004,Publishing,Approve schedule publish unpublish,Publishing commands,P0,PUB-003;PLT-005,13,"Permission, worker lease, outbox/cache/search, no duplicate notify"
READ-001,Reading,Chapter detail cacheable,GET /chapters/{id},P0,PUB-004,8,"Revision ETag, sanitized HTML, previous/next"
READ-002,Reading,Reading progress và history,/me/reading-progress; /me/reading-history,P0,READ-001,8,"Cross-device conflict rule và keyset"
READ-003,Reading,Reading session ingest,POST /reading-sessions,P0,READ-001,8,"Signed session, quota, anonymous privacy"
READ-004,Reading,Heartbeat và complete,/reading-sessions/{id}/*,P0,READ-003,8,"Sequence replay safe, batch cadence, async validation"
COM-001,Community,Favorite và follow story,/stories/{id}/favorite; follow,P1,CAT-002,5,"Idempotent relation, counter reconcile"
COM-002,Community,Comment CRUD,GET/POST/PATCH/DELETE /comments,P0,AUTH-004,8,"Owner policy, sanitize, spam/rate limit"
COM-003,Community,Reaction toggle,/reactions/{type}/{id},P1,AUTH-004,5,"Unique actor-target, idempotent"
MOD-001,Moderation,Report create và dedupe,POST /reports,P0,COM-002,8,"Reason allowlist, dedupe, evidence access"
MOD-002,Moderation,Case queue claim decision,/moderation/cases,P0,MOD-001,13,"SLA, assignment race safe, audit"
MOD-003,Moderation,Appeal workflow,/moderation/cases/{id}/appeals,P1,MOD-002,8,"Window, independent reviewer, final status"
MOD-004,Moderation,Copyright takedown workflow,copyright claims,P1,MOD-002,8,"Evidence, SLA, temporary hold và appeal"
MED-001,Media,Cloudinary upload signature,POST /media/upload-signatures,P0,INF-005,5,"Owner/purpose/type/size/folder bound signature có TTL"
MED-002,Media,Webhook moderation transform publish,Cloudinary webhook/media worker,P0,MED-001;PLT-005,13,"Verify/dedupe; magic-byte, re-encode, metadata strip, private variants"
NOT-001,Notifications,Notification inbox,GET /notifications,P1,PLT-005,5,"Keyset, mark read watermark, no duplicate"
NOT-002,Notifications,Email push workers,Notification workers,P1,NOT-001,8,"Preference/consent, retry DLQ, unsubscribe"
VIEW-001,Analytics,Raw reading event store,reading sessions/events,P0,READ-004,8,"Append path chịu target RPS, retention rõ"
VIEW-002,Analytics,View validation rules,Analytics worker,P0,VIEW-001;ARC-004,13,"Rule version, replay/duplicate/self-view tests"
VIEW-003,Analytics,Fraud scoring và review hold,Fraud pipeline,P1,VIEW-002,13,"Không auto-ban một tín hiệu, case/audit"
VIEW-004,Analytics,Hourly daily aggregate và rebuild,Stats projections,P0,VIEW-002,13,"Incremental idempotent và reconciliation match"
MON-001,Monetization,Wallet accounts và double-entry ledger,Ledger module,P1,ARC-005;PLT-004,13,"MongoDB transaction; balanced property tests và immutable entries"
MON-002,Monetization,Topup QR reference và discount snapshot,POST/GET /wallets/me/topups,P1,MON-001,13,"Default 10%; 100k VND nhận 90k xu; unique reference"
MON-003,Monetization,Topup automation ingest và match,POST /webhooks/topups/{provider},P1,MON-002,13,"Signature/event/bank-ref dedupe; amount + reference match"
MON-004,Monetization,Admin manual topup review,/admin/topups/{id}/*,P1,MON-003;AUTH-006,13,"Evidence/reason/MFA; race automation không double-credit"
MON-005,Monetization,Donation chỉ bằng xu,POST /donations,P1,MON-001,8,"Atomic Reader debit + Team credit; không QR/provider; idempotent"
MON-006,Monetization,Reward periods và settlement,/teams/{teamId}/rewards,P1,VIEW-004;MON-001,13,"Period lock, rule version, compensating adjustment"
MON-007,Monetization,Referral attribution và fraud,/referrals/me,P2,MON-006,8,"One attribution, self/collusion checks"
MON-008,Monetization,Withdrawal reserve và fee rule,POST/GET /teams/{teamId}/withdrawals,P1,MON-001,13,"Min 100k; dưới 1m phí 20k; từ 1m miễn phí; concurrency safe"
MON-009,Monetization,Admin approve reject withdrawal,/admin/withdrawals/{id}/*,P1,MON-008;AUTH-006,13,"Risk/reason/audit; settle/release reserve đúng một lần"
MON-010,Monetization,Reconciliation và kill switch,Topup/withdrawal jobs/admin,P1,MON-004;MON-009,8,"Freeze/manual fallback và provider-ledger reconciliation diễn tập"
OPS-001,Operations,Dashboard SLO và domain metrics,Observability dashboards,P0,PLT-006,8,"Golden signal + outbox queue view ledger metrics"
OPS-002,Operations,Alert và on-call runbooks,Runbooks,P0,OPS-001,8,"SEV matrix, symptom alerts và owner"
OPS-003,Operations,Backup restore drill,DR exercise,P0,INF-003,8,"RPO/RTO đo thực tế và reconcile ledger"
QA-001,Quality,OpenAPI lint và breaking check,api/story-platform.v1.yaml,P0,PLT-008,3,"Spec parse/lint và contract test trong CI"
QA-002,Quality,Authorization matrix suite,Integration tests,P0,AUTH-004;TEAM-002,13,"BOLA/BFLA cross-role/cross-team negative coverage"
QA-003,Quality,Load soak spike suite,Load tests,P0,READ-004;CAT-005,13,"Target RPS/SLO và recovery pass"
QA-004,Quality,Security DAST/fuzz/upload tests,Security tests,P0,MED-002;PUB-004,13,"Không critical/high trước launch"
QA-005,Quality,Ledger/topup/donation/withdrawal failure suite,Monetization tests,P1,MON-010,13,"Replay/race/boundary/failure/restore invariants pass"
LAUNCH-001,Launch,Production readiness review,Release checklist,P0,OPS-003;QA-003;QA-004,8,"Security reliability product ops sign-off"
LAUNCH-002,Launch,Canary và progressive rollout,Production deployment,P0,LAUNCH-001,5,"Auto halt thresholds, rollback/flags verified"
