Sequence,Phase,Branch,Planned commit,Work items,Depends on,Status
C001,Discovery,docs/ARC-001-module-boundaries,docs(architecture): define modular monolith boundaries,ARC-001,,Planned
C002,Discovery,docs/ARC-002-auth-contract,docs(auth): define web and mobile token lifecycle,ARC-002,C001,Planned
C003,Discovery,docs/ARC-003-content-media,docs(media): define content and Cloudinary policy,ARC-003,C001,Planned
C004,Discovery,docs/ARC-004-view-pipeline,docs(analytics): define valid-view pipeline,ARC-004,C001,Planned
C005,Discovery,docs/ARC-005-ledger,docs(ledger): define double-entry invariants,ARC-005,C001,Planned
C006,Discovery,docs/ARC-006-team-permissions,docs(teams): define team-only publishing permissions,ARC-006,C001,Planned
C007,Discovery,docs/QA-001-openapi-baseline,docs(api): baseline versioned OpenAPI contract,QA-001,C001;C002;C006,Planned
C008,Discovery,chore/repository-baseline,chore(repo): add workspace governance baseline,PLT-008,C001,Planned
C009,Base-A,feat/PLT-001-spring-bootstrap,feat(platform): bootstrap Spring Boot modular monolith,PLT-001,C008,Planned
C010,Base-A,test/PLT-001-architecture-rules,test(architecture): enforce clean layer dependencies,PLT-001,C009,Planned
C010A,Base-A,test/base-java-unit-stack,test(base): configure Java unit-test stack and coverage,BASE-001,C009,Planned
C010B,Base-A,test/base-java-fixtures,test(base): add deterministic domain test fixtures,BASE-002,C010A,Planned
C011,Base-A,feat/frontend-next-workspace,feat(web): bootstrap Next.js web and admin apps,PLT-001,C008,Planned
C011A,Base-A,test/base-web-unit-stack,test(web): configure Vitest Testing Library and MSW,BASE-003,C011,Planned
C011B,Base-A,test/base-test-conventions,test(base): enforce deterministic test conventions,BASE-004,C010A;C011A,Planned
C012,Base-A,feat/PLT-002-problem-details,feat(api): add problem details and correlation ids,PLT-002,C009,Planned
C013,Base-A,feat/PLT-003-validation,feat(api): enforce request validation and limits,PLT-003,C012,Planned
C014,Base-A,feat/PLT-004-mongodb,feat(persistence): configure MongoDB replica-set access,PLT-004,C009,Planned
C015,Base-A,feat/PLT-004-migrations,feat(persistence): add document and index migrations,PLT-004,C014,Planned
C016,Base-A,feat/PLT-005-outbox-model,feat(events): persist transactional outbox messages,PLT-005,C014,Planned
C017,Base-A,feat/PLT-005-outbox-worker,feat(events): process outbox with lease retry and dlq,PLT-005,C016,Planned
C018,Base-A,feat/PLT-006-observability,feat(observability): add OpenTelemetry logs metrics traces,PLT-006,C009;C014,Planned
C019,Base-A,feat/PLT-007-health,feat(platform): add safe health and readiness probes,PLT-007,C014,Planned
C020,Base-A,ci/PLT-008-quality-gates,ci: enforce build test lint and OpenAPI gates,PLT-008;QA-001,C007;C010;C011B,Planned
C021,Base-A,ci/PLT-008-security-gates,ci(security): add secret SAST SCA IaC and image scans,PLT-008,C020,Planned
C022,Base-A,feat/redis-building-blocks,feat(cache): add Redis namespaces and resilience policy,INF-004,C009,Planned
C023,Base-B,infra/INF-001-environments,feat(infra): provision isolated dev and staging,INF-001,C021,Planned
C024,Base-B,infra/INF-003-mongodb,feat(infra): provision managed MongoDB with PITR,INF-003,C023,Planned
C025,Base-B,infra/INF-004-redis,feat(infra): provision private managed Redis,INF-004,C023,Planned
C026,Base-B,infra/INF-005-cloudinary,feat(infra): configure restricted Cloudinary environments,INF-005,C023,Planned
C027,Base-B,infra/INF-002-cloudflare,feat(edge): configure Cloudflare TLS WAF and rate limits,INF-002,C023,Planned
C028,Base-B,ci/deploy-staging,ci(cd): deploy signed immutable artifacts to staging,INF-001;PLT-008,C023;C024;C025;C026;C027,Planned
C029,Identity,feat/AUTH-001-registration,feat(auth): register pending users,AUTH-001,C013;C014;C010B,Planned
